Id,Name,Tel,Add,Px,Py
216,淡水海關碼頭園區,886-2-26231001,新北市251淡水區中正路259號,121.43175,25.17448
217,和美漁港,886-2-89526055,新北市228貢寮區和美街71之2號 (和美港潛水訓練中心對面),121.91407,25.07912
218,福隆遊客服務中心,886-2-24991210,新北市228貢寮區福隆里興隆街38號,121.94255,25.01718
219,龍門公園(龍門露營度假基地),886-2-24991791,新北市228貢寮區福隆村興隆街100號(台2線100公里處),121.93859,25.01879
220,龍洞四季灣,886-2-24901000,新北市228貢寮區和美里和美街48號,121.91819,25.10192
221,麟山鼻地質景觀生態步道,886-2-86355100,新北市253石門區德茂里下員坑(2號省道23公里處),121.51117,25.28896
222,淺水灣海濱公園,886-2-26362111,新北市252三芝區後厝裡北勢子淡金公路,121.46991,25.25147
223,白雞行修宮,886-2-26711476,新北市237三峽區嘉添里白雞路155號,121.40183,24.9051
224,北勢溪自行車道,886-2-26657251,新北市232坪林區坪雙公路,121.71177,24.94349
225,瑞猴自行車道,886-2-29603456,新北市224瑞芳區瑞芳車站到猴硐車站路程,121.80597,25.10874
226,九份金礦博物館,886-2-24966379,新北市224瑞芳區九份頌德里石碑巷66號,121.8423,25.10794
227,豎崎路,886-2-24063270 ,新北市224瑞芳區九份豎崎路,121.84328,25.10903
228,新店溪自行車道,886-2-29112281,新北市231新店區,121.53674,24.95929
229,青龍嶺,886-2-26812106,新北市238樹林區青龍嶺,121.40337,24.99992
230,鶯歌車站,886-2-26792004,新北市239鶯歌區文化路68號,121.35515,24.95457
231,新店溪陽光橋,886-2-29112281,新北市231新店區陽光橋,121.5214,24.97847
232,潤濟宮,886-2-22151417,新北市231新店區安康路三段306號,121.48709,24.95216
233,安心橋,886-2-29603456,新北市231新店區安心橋,121.5244,24.98493
234,米靈岸音樂劇場,886-2-29161666,新北市231新店區新北 市北新路一段297巷21號3樓,121.54075,24.96791
235,陽光運動園區,886-2-89699596,新北市231新店區安業街,121.52029,24.97697
236,龍門吊橋,886-2-29603456,新北市228貢寮區龍門吊橋,121.93545,25.02277
237,鹽寮抗日紀念碑,886-2-24903991,新北市228貢寮區研海街45號,121.92752,25.04142
238,基隆山步道,886-2-24063270 ,新北市224瑞芳區山尖路174-1號旁,121.84746,25.11181
239,福龍海洋驛站,886-2-24991707,新北市228貢寮區福隆里東興街6-17號,121.95114,25.02073
240,二叭子植物園,886-2-22104750,新北市231新店區雙城路279號,121.50072,24.93827
